Variable Name,Long Name,Description,Units,IO_ConfigOutputs_0,IO_ConfigOutputs_1,IO_ConfigOutputs_2,IO_ConfigOutputs_3,IO_ConfigOutputs_4,IO_ConfigOutputs_5,IO_ConfigOutputs_6,Min,Max,Scale,Offset,Fill,Special Notes
time,valid output time,Valid output time,minutes since 1970-01-01 00:00:00 UTC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,
reference_time,model initialization time,Model initialization time,minutes since 1970-01-01 00:00:00 UTC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,
feature_id,Reach ID,Unique reach or channel cell ID,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,
latitude,Feature latitude,Station latitude,decimal degrees,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,
longitude,Feature Longitude,Station longitude,decimal degrees,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,
order,Streamflow order,Strahler stream order for output reach or cell,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,
elevation,Feature Elevation,Elevation for output reach or cell,m,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,
streamflow,River Flow,Streamflow,m3 s-1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,500000,0.01,0,-9999,
nudge,Amount of stream flow alteration,Streamflow nudge value (only if nudging DA is active),m3 s-1,No,No,No,No,No,No,No,-500000,500000,0.01,0,-9999,Values only when nudging DA is active
q_lateral,Runoff into channel reach,Lateral flow into channel reach or cell,m3 s-1,Yes,No,No,No,No,Yes,Yes,0,500000,0.1,0,-9999,
velocity,River Velocity,Channel velocity,m s-1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,500000,0.01,0,-9999,
head,River Stage,River stage (gridded channel only),m,Yes,No,No,No,No,No,No,0,500000,0.01,0,-9999,
qSfcLatRunoff,Runoff from terrain routing,Flux from terrain routing,m3 s-1,No,No,No,No,No,No,No,0,500000,0.001,0,-9999,Only available for UDMP_OPT=1
qBucket,Flux from gw bucket,Flux from groundwater buckets,m3 s-1,No,No,No,No,No,No,No,0,500000,0.001,0,-9999,Only available for UDMP_OPT=1
qBtmVertRunoff,Runoff from bottom of soil to bucket,Flux from bottom of soil column into groundwater buckets,m3,No,No,No,No,No,No,No,0,500000,0.001,0,-9999,Only available for UDMP_OPT=1
AccSfcLatRunoff,Accumulated runoff from terrain routing,Accumulated flux from terrain routing,m3,No,No,No,No,No,No,No,0,500000,0.01,0,-9999,Only available for UDMP_OPT=1
accBucket,Accumulated runoff from gw bucket,Accumulated flux from groundwater buckets,m3,No,No,No,No,No,No,No,0,500000,0.01,0,-9999,Only available for UDMP_OPT=1
