Variable Name,Long Name,Description,Units,IO_ConfigOutputs_0,IO_ConfigOutputs_1,IO_ConfigOutputs_2,IO_ConfigOutputs_3,IO_ConfigOutputs_4,IO_ConfigOutputs_5,IO_ConfigOutputs_6,,
time,valid output time,Valid output time,minutes since 1970-01-01 00:00:00 UTC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
reference_time,model initialization time,Model initialization time,minutes since 1970-01-01 00:00:00 UTC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
x,x coordinate of projection,x coordinate (in native projection),native projection units,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
y,y coordinate of projection,x coordinate (in native projection),native projection units,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
stc1,Soil temperature in the top layer,Soil temperature in the top layer,K,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
smc1,Soil moisture in the top layer,Volumetric soil moisture in the top layer,m3 m-3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
sh2ox1,Volumetric soil moisture in the top layer,Liquid water in the top layer,m3 m-3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
stc2,Soil temperature in the second layer,Soil temperature in the second layer,K,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
smc2,Soil moisture in the second layer,Volumetric soil moisture in the second layer,m3 m-3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
sh2ox2,Volumetric soil moisture in the second layer,Liquid water in the second layer,m3 m-3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
stc3,Soil temperature in the third layer,Soil temperature in the third layer,K,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
smc3,Soil moisture in the third layer,Volumetric soil moisture in the third layer,m3 m-3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
sh2ox3,Volumetric soil moisture in the third layer,Liquid water in the third layer,m3 m-3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
stc4,Soil temperature in the fourth layer,Soil temperature in the bottom layer,K,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
smc4,Soil moisture content in the fourth layer,Volumetric soil moisture in the bottom layer,m3 m-3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
sh2ox4,Volumetric soil moisture in the fourth layer,Liquid water in the bottom layer,m3 m-3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
infxsrt,Infiltration excess,Infiltration excess (from LSM),mm,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
sfcheadrt,Surface head,Surface head (from HYDRO),mm,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
