Variable Name,Long Name,Description,Units,IO_ConfigOutputs_0,IO_ConfigOutputs_1,IO_ConfigOutputs_2,IO_ConfigOutputs_3,IO_ConfigOutputs_4,IO_ConfigOutputs_5,IO_ConfigOutputs_6,Min,Max,Scale,Offset,Fill
time,valid output time,Valid output time,minutes since 1970-01-01 00:00:00 UTC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A
reference_time,model initialization time,Model initialization time,minutes since 1970-01-01 00:00:00 UTC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A
x,x coordinate of projection,x coordinate (in native projection),native projection units,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A
y,y coordinate of projection,x coordinate (in native projection),native projection units,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A
SOIL_M,volumetric soil moisture,Volumetric soil moisture,m3 m-3,Yes,No,No,No,No,No,No,0,1,0.01,0,-9999
zwattablrt,water table depth,Depth to saturated layers (=2m when no saturation; =0 when fully saturated),m,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,10,0.1,0,-9999
sfcheadsubrt,surface head,Instantaneous value of depth of ponded water on surface,mm,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,1000000,1,0,-9999
QSTRMVOLRT,channel inflow,Accumulated depth of stream channel inflow,mm,Yes,No,No,No,No,No,No,0,1000,1,0,-9999
QBDRYRT,accumulated value of the boundary flux,Accumulated flow volume routed outside of the domain from the boundary cells,mm,Yes,No,No,No,No,No,No,0,1000,1,0,-9999
